dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_norm,hum_norm,windspeed_norm,casual,registered,cnt,temp_real,atemp_norm_calc,hum_real,windspeed_real,hum_qual
2011-01-01,winter,2011,jan,no,saturday,no,weather2,0.344167,0.805833,0.160446,331,654,985,8,0.36363636363636365,80.58,10.75,alta
2011-01-02,winter,2011,jan,no,sunday,no,weather2,0.363478,0.696087,0.248539,131,670,801,9,0.3787878787878788,69.61,16.65,média
2011-01-03,winter,2011,jan,no,monday,yes,weather1,0.196364,0.437273,0.248309,120,1229,1349,1,0.25757575757575757,43.73,16.64,baixa
2011-01-04,winter,2011,jan,no,tuesday,yes,weather1,0.2,0.590435,0.160296,108,1454,1562,1,0.25757575757575757,59.04,10.74,média
2011-01-05,winter,2011,jan,no,wednesday,yes,weather1,0.226957,0.436957,0.1869,82,1518,1600,3,0.2878787878787879,43.7,12.52,baixa
2011-01-06,winter,2011,jan,no,thursday,yes,weather1,0.204348,0.518261,0.0895652,88,1518,1606,2,0.2727272727272727,51.83,6,média
2011-01-07,winter,2011,jan,no,friday,yes,weather2,0.196522,0.498696,0.168726,148,1362,1510,1,0.25757575757575757,49.87,11.3,baixa
2011-01-08,winter,2011,jan,no,saturday,no,weather2,0.165,0.535833,0.266804,68,891,959,-0,0.24242424242424243,53.58,17.88,média
2011-01-09,winter,2011,jan,no,sunday,no,weather1,0.138333,0.434167,0.36195,54,768,822,-1,0.22727272727272727,43.42,24.25,baixa
2011-01-10,winter,2011,jan,no,monday,yes,weather1,0.150833,0.482917,0.223267,41,1280,1321,-1,0.22727272727272727,48.29,14.96,baixa
2011-01-11,winter,2011,jan,no,tuesday,yes,weather2,0.169091,0.686364,0.122132,43,1220,1263,-0,0.24242424242424243,68.64,8.18,média
2011-01-12,winter,2011,jan,no,wednesday,yes,weather1,0.172727,0.599545,0.304627,25,1137,1162,0,0.24242424242424243,59.95,20.41,média
2011-01-13,winter,2011,jan,no,thursday,yes,weather1,0.165,0.470417,0.301,38,1368,1406,-0,0.24242424242424243,47.04,20.17,baixa
2011-01-14,winter,2011,jan,no,friday,yes,weather1,0.16087,0.537826,0.126548,54,1367,1421,-0,0.24242424242424243,53.78,8.48,média
2011-01-15,winter,2011,jan,no,saturday,no,weather2,0.233333,0.49875,0.157963,222,1026,1248,3,0.2878787878787879,49.88,10.58,baixa
2011-01-16,winter,2011,jan,no,sunday,no,weather1,0.231667,0.48375,0.188433,251,953,1204,3,0.2878787878787879,48.38,12.63,baixa
2011-01-17,winter,2011,jan,yes,monday,no,weather2,0.175833,0.5375,0.194017,117,883,1000,0,0.24242424242424243,53.75,13,média
2011-01-18,winter,2011,jan,no,tuesday,yes,weather2,0.216667,0.861667,0.146775,9,674,683,2,0.2727272727272727,86.17,9.83,alta
2011-01-19,winter,2011,jan,no,wednesday,yes,weather2,0.292174,0.741739,0.208317,78,1572,1650,6,0.3333333333333333,74.17,13.96,alta
2011-01-20,winter,2011,jan,no,thursday,yes,weather2,0.261667,0.538333,0.195904,83,1844,1927,4,0.30303030303030304,53.83,13.13,média
2011-01-21,winter,2011,jan,no,friday,yes,weather1,0.1775,0.457083,0.353242,75,1468,1543,0,0.24242424242424243,45.71,23.67,baixa
2011-01-22,winter,2011,jan,no,saturday,no,weather1,0.0591304,0.4,0.17197,93,888,981,-5,0.16666666666666666,40,11.52,baixa
2011-01-23,winter,2011,jan,no,sunday,no,weather1,0.0965217,0.436522,0.2466,150,836,986,-3,0.19696969696969696,43.65,16.52,baixa
2011-01-24,winter,2011,jan,no,monday,yes,weather1,0.0973913,0.491739,0.15833,86,1330,1416,-3,0.19696969696969696,49.17,10.61,baixa
2011-01-25,winter,2011,jan,no,tuesday,yes,weather2,0.223478,0.616957,0.129796,186,1799,1985,3,0.2878787878787879,61.7,8.7,média
2011-01-26,winter,2011,jan,no,wednesday,yes,weather3,0.2175,0.8625,0.29385,34,472,506,2,0.2727272727272727,86.25,19.69,alta
2011-01-27,winter,2011,jan,no,thursday,yes,weather1,0.195,0.6875,0.113837,15,416,431,1,0.25757575757575757,68.75,7.63,média
2011-01-28,winter,2011,jan,no,friday,yes,weather2,0.203478,0.793043,0.1233,38,1129,1167,2,0.2727272727272727,79.3,8.26,alta
2011-01-29,winter,2011,jan,no,saturday,no,weather1,0.196522,0.651739,0.145365,123,975,1098,1,0.25757575757575757,65.17,9.74,média
2011-01-30,winter,2011,jan,no,sunday,no,weather1,0.216522,0.722174,0.0739826,140,956,1096,2,0.2727272727272727,72.22,4.96,alta
2011-01-31,winter,2011,jan,no,monday,yes,weather2,0.180833,0.60375,0.187192,42,1459,1501,0,0.24242424242424243,60.38,12.54,média
2011-02-01,winter,2011,feb,no,tuesday,yes,weather2,0.192174,0.829565,0.053213,47,1313,1360,1,0.25757575757575757,82.96,3.57,alta
2011-02-02,winter,2011,feb,no,wednesday,yes,weather2,0.26,0.775417,0.264308,72,1454,1526,4,0.30303030303030304,77.54,17.71,alta
2011-02-03,winter,2011,feb,no,thursday,yes,weather1,0.186957,0.437826,0.277752,61,1489,1550,1,0.25757575757575757,43.78,18.61,baixa
2011-02-04,winter,2011,feb,no,friday,yes,weather2,0.211304,0.585217,0.127839,88,1620,1708,2,0.2727272727272727,58.52,8.57,média
2011-02-05,winter,2011,feb,no,saturday,no,weather2,0.233333,0.929167,0.161079,100,905,1005,3,0.2878787878787879,92.92,10.79,alta
2011-02-06,winter,2011,feb,no,sunday,no,weather1,0.285833,0.568333,0.1418,354,1269,1623,5,0.3181818181818182,56.83,9.5,média
2011-02-07,winter,2011,feb,no,monday,yes,weather1,0.271667,0.738333,0.0454083,120,1592,1712,5,0.3181818181818182,73.83,3.04,alta
2011-02-08,winter,2011,feb,no,tuesday,yes,weather1,0.220833,0.537917,0.36195,64,1466,1530,2,0.2727272727272727,53.79,24.25,média
2011-02-09,winter,2011,feb,no,wednesday,yes,weather2,0.134783,0.494783,0.188839,53,1552,1605,-2,0.21212121212121213,49.48,12.65,baixa
2011-02-10,winter,2011,feb,no,thursday,yes,weather1,0.144348,0.437391,0.221935,47,1491,1538,-1,0.22727272727272727,43.74,14.87,baixa
2011-02-11,winter,2011,feb,no,friday,yes,weather1,0.189091,0.506364,0.10855,149,1597,1746,1,0.25757575757575757,50.64,7.27,média
2011-02-12,winter,2011,feb,no,saturday,no,weather1,0.2225,0.544167,0.203367,288,1184,1472,2,0.2727272727272727,54.42,13.63,média
2011-02-13,winter,2011,feb,no,sunday,no,weather1,0.316522,0.457391,0.260883,397,1192,1589,7,0.3484848484848485,45.74,17.48,baixa
2011-02-14,winter,2011,feb,no,monday,yes,weather1,0.415,0.375833,0.417908,208,1705,1913,12,0.42424242424242425,37.58,28,baixa
2011-02-15,winter,2011,feb,no,tuesday,yes,weather1,0.266087,0.314348,0.291374,140,1675,1815,5,0.3181818181818182,31.43,19.52,baixa
2011-02-16,winter,2011,feb,no,wednesday,yes,weather1,0.318261,0.423478,0.251791,218,1897,2115,7,0.3484848484848485,42.35,16.87,baixa
2011-02-17,winter,2011,feb,no,thursday,yes,weather1,0.435833,0.505,0.230104,259,2216,2475,12,0.42424242424242425,50.5,15.42,média
2011-02-18,winter,2011,feb,no,friday,yes,weather1,0.521667,0.516667,0.264925,579,2348,2927,17,0.5,51.67,17.75,média
2011-02-19,winter,2011,feb,no,saturday,no,weather1,0.399167,0.187917,0.507463,532,1103,1635,11,0.4090909090909091,18.79,34,baixa
